Symbol,Date,Pattern,Confidence,RSI,Volume Ratio,EMA50,EMA200,Trend Strength %,Entry,Stop,Target,Risk %,Reward %,Risk:Reward,Exit,Return %,Holding Days,Outcome
MAXHEALTH,2023-12-04,ROUNDING_BOTTOM_V5,95.0,77.59104976638518,1.5943336875711478,594.676963101456,544.0227502368102,9.311046797692967,689.41015625,506.195621941442,846.9986601847893,26.575549061409404,22.858454072098578,0.8601310181504979,846.9986601847894,22.858454072098578,45,WIN
GODREJCP,2024-01-05,ROUNDING_BOTTOM_V5,95.0,94.24788232872592,1.6407273265579239,1016.7013407679024,964.4090136146141,5.422214684337733,1170.9197998046875,916.764495959538,1413.076449550473,21.70561159590463,20.680891192221516,0.9527900700168956,1161.560791015625,-0.7992869187645139,60,TIME_EXIT
RELIANCE,2024-01-11,ROUNDING_BOTTOM_V5,95.0,75.39163365815202,1.9941572157094978,1233.2151438688202,1184.0445309676657,4.15276719879527,1343.6961669921875,1096.9219477593886,1560.43249934088,18.365328806823463,16.1298616214593,0.8782778566679624,1449.6680908203125,7.886598654615433,60,TIME_EXIT
ZYDUSLIFE,2024-01-24,ROUNDING_BOTTOM_V5,95.0,79.45305596689101,1.862123154542823,667.2995216564196,592.4317651261424,12.637363648847586,742.0278930664062,559.9233277216173,904.5068101142148,24.54147169485068,21.896605042213395,0.8922286859759826,904.5068101142149,21.896605042213395,21,WIN
MOTHERSON,2024-01-25,ROUNDING_BOTTOM_V5,95.0,72.67554696897383,1.6604145206907246,66.58550982785448,60.808775902781456,9.499835902483264,75.88909149169922,57.081223084516054,92.00072053442288,24.783362190125015,21.230494035478024,0.8566430120582009,86.21369171142577,13.604854158592572,60,TIME_EXIT
TCS,2024-02-06,ROUNDING_BOTTOM_V5,95.0,70.61728664528201,1.805966151585372,3464.3534050501366,3236.238840644298,7.048755535003213,3826.89599609375,3042.3575051849602,4505.954567101457,20.500648350767733,17.744369632747954,0.8655516317894132,3679.732421875,-3.8455075436846244,60,TIME_EXIT
DRREDDY,2024-02-12,ROUNDING_BOTTOM_V5,95.0,80.47910327356101,1.7073476039488915,1153.0570353975336,1072.1285904251456,7.548389782264489,1251.30712890625,1028.4584216588312,1451.7218039842744,17.809273366979674,16.016425579961656,0.8993306604893744,1159.49658203125,-7.337171247098249,60,TIME_EXIT
WIPRO,2024-02-16,ROUNDING_BOTTOM_V5,95.0,82.4675999272784,1.9685292274415578,219.95319693132217,201.28008392897965,9.277178664597141,254.5042724609375,175.4119601806765,326.5071239057922,31.07700767278886,28.291411672040205,0.9103647291245569,216.0239715576172,-15.119707237616787,60,TIME_EXIT
JIOFIN,2024-02-22,ROUNDING_BOTTOM_V5,95.0,72.48967707722544,1.7055429309941355,255.95233006270746,241.64945881439033,5.918850933286423,302.37847900390625,203.93200344792493,393.6861083633336,32.557368460970906,30.19647087987627,0.9274849997804696,393.6861083633336,30.19647087987627,38,WIN
DIVISLAB,2024-05-29,ROUNDING_BOTTOM_V5,95.0,79.7803388353069,1.8602923813833607,3841.833585131179,3662.3530485735478,4.90068909734241,4400.82763671875,3314.472264521033,5441.275129550601,24.685251545268464,23.642086869087365,0.9577413795331144,4903.92041015625,11.431776360425811,60,TIME_EXIT
SBILIFE,2024-07-18,ROUNDING_BOTTOM_V5,95.0,91.05163618635098,1.649958649500367,1486.0836512017784,1422.3694245324273,4.479442933068935,1654.34716796875,1303.403848838628,1985.1569242835913,21.213402236546234,19.996392699182845,0.9426301578694087,1732.5893554687498,4.729490219158036,60,TIME_EXIT
HDFCLIFE,2024-07-25,ROUNDING_BOTTOM_V5,95.0,87.64260775132244,1.700630968232045,604.4332569626431,599.2644895966424,0.862518546606977,678.847412109375,506.4567806889773,843.1393485526526,25.394606850563108,24.2016001700257,0.9530212581136709,741.1524658203126,9.178064554645307,60,TIME_EXIT
SBILIFE,2024-09-02,ROUNDING_BOTTOM_V5,95.0,81.3941848353073,1.7363421838778257,1674.5886139885888,1506.0071064220251,11.193938384997399,1882.5450439453125,1303.403848838628,2442.798569173877,30.76373640935353,29.76043133897196,0.9673867615743671,1423.90673828125,-24.362673665586186,60,TIME_EXIT
HCLTECH,2024-09-02,ROUNDING_BOTTOM_V5,95.0,88.47759042263444,1.6216724079820584,1492.9977036777016,1358.7843271162842,9.877459864896679,1684.4547119140625,1142.7076295557822,2188.5807309775373,32.16157006338792,29.928143244090634,0.9305560389341883,1727.6333007812498,2.5633570651551234,60,TIME_EXIT
BAJAJFINSV,2025-03-27,ROUNDING_BOTTOM_V5,95.0,73.88262651957226,1.9069693324593084,1822.8537644528358,1730.1839781731453,5.356065450192066,2004.7733154296875,1550.8944651219051,2430.9155894262417,22.639908802382553,21.25638199175742,0.9388899123798795,2052.60009765625,2.3856453923475973,60,TIME_EXIT
BEL,2025-05-14,ROUNDING_BOTTOM_V5,95.0,73.13702968147547,1.7150650482690513,296.0060202541502,277.43046326569566,6.695572205661024,342.0966491699219,237.3631932256515,440.273285814794,30.615165684434555,28.698508705973058,0.9373951786438978,387.1498718261719,13.169735151036729,60,TIME_EXIT
ABCAPITAL,2025-06-09,ROUNDING_BOTTOM_V5,95.0,86.42009729742934,1.8675964601685147,206.67723638915297,195.3449170405443,5.8011846534284945,240.22999572753906,149.00999450683594,325.1800079345703,37.97194473755969,35.36195051319851,0.9312651948063244,279.25000000000006,16.242769415321533,60,TIME_EXIT
BAJAJFINSV,2025-10-20,ROUNDING_BOTTOM_V5,95.0,74.10981125359768,1.9812841802501664,2024.3890208778978,1939.3146878946197,4.386824557887374,2139.800048828125,1890.5999755859375,2354.0999755859375,11.64595137656266,10.014951017277301,0.8599512992499927,2000.9000244140625,-6.49126185832793,60,TIME_EXIT
AXISBANK,2025-10-23,ROUNDING_BOTTOM_V5,95.0,71.57757641990897,1.618111504723926,1150.3426788657887,1129.5336957105033,1.842263159949035,1258.800048828125,1042.5,1462.235205288072,17.183034670954193,16.161038176740945,0.9405229335921199,1307.5,3.8687598731198043,60,TIME_EXIT
